scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label,source_file
48,1779169506.957,2,0.3375,0.9653,0.4095,1026.202,0,0,0.7823,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
49,1779169507.534,0,0.5711,0.2042,0.037,0.0,187,0,0.0712,1,0.0,WAIT,interaction_green.csv
49,1779169507.534,1,0.443,0.1944,0.0817,0.0,14,0,0.0573,1,0.0,WAIT,interaction_green.csv
49,1779169507.534,2,0.3383,0.9611,0.4269,1026.779,0,0,0.7781,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
50,1779169508.093,0,0.5391,0.1556,0.0351,0.0,191,0,0.0592,1,0.0,WAIT,interaction_green.csv
50,1779169508.093,2,0.3414,0.9542,0.4324,1027.338,0,0,0.7707,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
51,1779169508.669,0,0.532,0.1625,0.0347,0.0,195,0,0.0493,1,0.0,WAIT,interaction_green.csv
51,1779169508.669,2,0.3414,0.9542,0.4266,1027.914,0,0,0.7707,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
52,1779169509.228,0,0.5164,0.1583,0.0341,0.0,199,0,0.0448,1,0.0,WAIT,interaction_green.csv
52,1779169509.228,2,0.3383,0.9556,0.4245,1028.474,0,0,0.7727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
53,1779169509.789,0,0.5148,0.1653,0.0332,0.0,203,0,0.0378,1,0.0,WAIT,interaction_green.csv
53,1779169509.789,2,0.3375,0.9569,0.4228,1029.034,0,0,0.7742,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
54,1779169510.365,0,0.5164,0.1681,0.0335,0.0,207,0,0.0359,1,0.0,WAIT,interaction_green.csv
54,1779169510.365,2,0.3391,0.9597,0.4219,1029.61,0,0,0.7766,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
55,1779169510.925,0,0.5164,0.1708,0.0335,0.0,211,0,0.0335,1,0.0,WAIT,interaction_green.csv
55,1779169510.925,2,0.3414,0.9611,0.4207,1030.17,0,0,0.7775,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
56,1779169511.501,0,0.5188,0.1736,0.0341,0.0,215,0,0.0324,1,0.0,WAIT,interaction_green.csv
56,1779169511.501,2,0.3375,0.9556,0.4197,1030.746,0,0,0.7728,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
57,1779169512.06,0,0.518,0.1736,0.0335,0.0,219,0,0.0319,1,0.0,WAIT,interaction_green.csv
57,1779169512.06,2,0.3383,0.9542,0.4188,1031.305,0,0,0.7713,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
58,1779169512.637,0,0.5195,0.175,0.0335,0.0,223,0,0.0317,1,0.0,WAIT,interaction_green.csv
58,1779169512.637,2,0.3359,0.9597,0.4218,1031.882,0,0,0.7772,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
59,1779169513.197,0,0.5195,0.175,0.0341,0.0,227,0,0.0317,1,0.0,WAIT,interaction_green.csv
59,1779169513.197,2,0.3406,0.9569,0.4191,1032.442,0,0,0.7735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
60,1779169513.757,1,0.4766,0.2125,999.0,0.128,16,0,0.0266,1,0.0,ASK,interaction_green.csv
60,1779169513.757,2,0.3438,0.9653,999.0,1033.002,0,0,0.7811,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
61,1779169514.333,0,0.6687,0.5097,0.0368,0.0,233,0,0.3527,1,0.0,WAIT,interaction_green.csv
61,1779169514.333,1,0.4789,0.2278,0.2226,0.705,16,0,0.0349,1,0.0,ASK,interaction_green.csv
61,1779169514.333,2,0.3422,0.9597,0.3254,1033.578,0,0,0.7759,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
62,1779169514.89,0,0.6711,0.5542,0.0469,0.0,237,0,0.3933,1,0.0,WAIT,interaction_green.csv
62,1779169514.89,1,0.4688,0.2153,0.2169,1.262,16,0,0.0348,1,0.0,ASK,interaction_green.csv
62,1779169514.89,2,0.343,0.9569,0.3058,1034.135,0,0,0.7731,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
63,1779169515.465,0,0.6711,0.5542,0.1026,0.0,240,0,0.3933,1,0.0,WAIT,interaction_green.csv
63,1779169515.465,1,0.4648,0.2264,0.24,1.837,16,0,0.044,1,0.0,ASK,interaction_green.csv
63,1779169515.465,2,0.3422,0.9583,0.2459,1034.71,0,0,0.7746,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
